id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id
1,0.0,0.029999999329447746,-51.846588134765625,2,1,1
2,0.029999999329447746,0.18000000715255737,-57.46795654296875,58,2,1
3,0.18000000715255737,0.27000001072883606,-44.44187927246094,11,2,1
4,0.27000001072883606,0.3499999940395355,-46.23097229003906,47,2,1
5,0.3499999940395355,0.4300000071525574,-51.3876838684082,61,2,1
6,0.4300000071525574,0.5199999809265137,-39.24760818481445,38,2,1
7,0.5199999809265137,0.6299999952316284,-40.807090759277344,49,2,1
8,0.6299999952316284,0.7440000176429749,-48.4011116027832,2,3,1
9,0.0,0.05000000074505806,-51.927589416503906,2,4,10
10,0.05000000074505806,0.15000000596046448,-55.983497619628906,37,5,10
11,0.15000000596046448,0.28999999165534973,-36.641151428222656,27,5,10
12,0.28999999165534973,0.5299999713897705,-42.779510498046875,57,5,10
13,0.5299999713897705,0.6000000238418579,-42.661399841308594,2,6,10
14,0.0,0.03999999910593033,-55.655399322509766,2,7,100
15,0.03999999910593033,0.23999999463558197,-54.734596252441406,42,8,100
16,0.23999999463558197,0.33000001311302185,-66.54283142089844,71,8,100
17,0.33000001311302185,0.5699999928474426,-47.0034294128418,41,8,100
18,0.5699999928474426,0.6480000019073486,-45.0252799987793,2,9,100
19,0.0,0.05999999865889549,-48.27382278442383,2,10,101
20,0.05999999865889549,0.17000000178813934,-58.19975280761719,45,11,101
21,0.17000000178813934,0.3100000023841858,-58.271114349365234,63,11,101
22,0.3100000023841858,0.5299999713897705,-49.68663024902344,45,11,101
23,0.5299999713897705,0.6000000238418579,-46.12283706665039,2,12,101
24,0.0,0.03999999910593033,-44.7429084777832,2,13,102
25,0.03999999910593033,0.12999999523162842,-55.50013732910156,37,14,102
26,0.12999999523162842,0.23000000417232513,-45.809844970703125,42,14,102
27,0.23000000417232513,0.28999999165534973,-54.53303909301758,39,15,102
28,0.28999999165534973,0.3499999940395355,-88.12542724609375,71,15,102
29,0.3499999940395355,0.4300000071525574,-50.904502868652344,37,16,102
30,0.4300000071525574,0.550000011920929,-42.03541946411133,8,16,102
31,0.550000011920929,0.6499999761581421,-54.11517333984375,56,16,102
32,0.6499999761581421,0.7799999713897705,-48.65971374511719,41,16,102
33,0.7799999713897705,0.8299999833106995,-47.61994552612305,38,17,102
34,0.8299999833106995,0.8600000143051147,-45.468963623046875,48,17,102
35,0.8600000143051147,0.8999999761581421,-45.46135711669922,37,18,102
36,0.8999999761581421,0.9599999785423279,-44.90464401245117,39,18,102
37,0.9599999785423279,1.0299999713897705,-51.65732192993164,71,18,102
38,1.0299999713897705,1.100000023841858,-50.35556411743164,37,19,102
39,1.100000023841858,1.340000033378601,-35.4865608215332,51,19,102
40,1.340000033378601,1.5,-38.34330368041992,47,19,102
41,1.5,1.6080000400543213,-43.932472229003906,2,20,102
42,0.0,0.05000000074505806,-48.94343185424805,2,21,103
43,0.05000000074505806,0.10999999940395355,-59.10890579223633,25,22,103
44,0.10999999940395355,0.17000000178813934,-49.34819412231445,10,22,103
45,0.17000000178813934,0.25,-56.56587600708008,22,23,103
46,0.25,0.38999998569488525,-41.981689453125,33,23,103
47,0.38999998569488525,0.46000000834465027,-63.61295700073242,22,23,103
48,0.46000000834465027,0.6200000047683716,-61.68291473388672,41,23,103
49,0.6200000047683716,0.6800000071525574,-49.21255111694336,8,24,103
50,0.6800000071525574,0.7099999785423279,-40.402462005615234,48,24,103
51,0.7099999785423279,0.75,-48.400123596191406,24,24,103
52,0.75,0.8100000023841858,-48.11928176879883,37,25,103
53,0.8100000023841858,0.8700000047683716,-44.37713623046875,39,25,103
54,0.8700000047683716,0.9800000190734863,-60.609825134277344,71,25,103
55,0.9800000190734863,1.0499999523162842,-57.303321838378906,22,26,103
56,1.0499999523162842,1.1100000143051147,-47.64468002319336,57,26,103
57,1.1100000143051147,1.1799999475479126,-41.78711700439453,11,26,103
58,1.1799999475479126,1.25,-53.11024856567383,25,26,103
59,1.25,1.350000023841858,-46.49109649658203,29,26,103
60,1.350000023841858,1.4700000286102295,-55.89188766479492,57,27,103
61,1.4700000286102295,1.5399999618530273,-39.91474151611328,27,27,103
62,1.5399999618530273,1.5800000429153442,-45.901695251464844,24,27,103
63,1.5800000429153442,1.649999976158142,-47.26498794555664,10,28,103
64,1.649999976158142,1.75,-51.371734619140625,22,29,103
65,1.75,1.8200000524520874,-53.43897247314453,57,29,103
66,1.8200000524520874,1.9600000381469727,-39.94382858276367,17,29,103
67,1.9600000381469727,2.0299999713897705,-44.4151496887207,48,29,103
68,2.0299999713897705,2.119999885559082,-53.84407424926758,22,30,103
69,2.119999885559082,2.2799999713897705,-46.295108795166016,63,30,103
70,2.2799999713897705,2.4800000190734863,-50.80242919921875,45,30,103
71,2.4800000190734863,2.568000078201294,-43.74275207519531,2,31,103
72,0.0,0.03999999910593033,-47.21745300292969,2,32,104
73,0.03999999910593033,0.09000000357627869,-54.04765701293945,25,33,104
74,0.09000000357627869,0.15000000596046448,-36.469669342041016,27,33,104
75,0.15000000596046448,0.20000000298023224,-31.6357479095459,57,33,104
76,0.20000000298023224,0.27000001072883606,-42.73079299926758,39,34,104
77,0.27000001072883606,0.33000001311302185,-65.76776885986328,71,34,104
78,0.33000001311302185,0.4399999976158142,-53.190818786621094,58,35,104
79,0.4399999976158142,0.49000000953674316,-60.21747589111328,48,35,104
80,0.49000000953674316,0.6399999856948853,-45.38463592529297,51,35,104
81,0.6399999856948853,0.75,-49.25408935546875,48,36,104
82,0.75,0.8299999833106995,-40.8328857421875,39,36,104
83,0.8299999833106995,0.8899999856948853,-50.49504089355469,57,36,104
84,0.8899999856948853,0.9599999785423279,-50.19867706298828,5,37,104
85,0.9599999785423279,1.0499999523162842,-36.853233337402344,57,37,104
86,1.0499999523162842,1.1299999952316284,-49.221092224121094,37,38,104
87,1.1299999952316284,1.3600000143051147,-38.853759765625,51,38,104
88,1.3600000143051147,1.5199999809265137,-36.96831512451172,47,38,104
89,1.5199999809265137,1.6080000400543213,-43.26422882080078,2,39,104
90,0.0,0.03999999910593033,-45.490806579589844,2,40,105
91,0.03999999910593033,0.18000000715255737,-54.83510208129883,59,41,105
92,0.18000000715255737,0.25999999046325684,-52.83153533935547,42,41,105
93,0.25999999046325684,0.38999998569488525,-57.78632354736328,59,42,105
94,0.38999998569488525,0.5,-43.50247573852539,27,42,105
95,0.5,0.5899999737739563,-48.15590286254883,57,42,105
96,0.5899999737739563,0.6399999856948853,-59.68457794189453,71,42,105
97,0.6399999856948853,0.699999988079071,-45.68766784667969,58,43,105
98,0.699999988079071,0.7699999809265137,-67.77311706542969,56,43,105
99,0.7699999809265137,0.8500000238418579,-45.85923767089844,27,43,105
100,0.8500000238418579,0.949999988079071,-56.81700897216797,59,43,105
101,0.949999988079071,1.0,-54.83355712890625,10,43,105
102,1.0,1.0299999713897705,-55.85908508300781,46,43,105
103,1.0299999713897705,1.1299999952316284,-52.93952560424805,40,44,105
104,1.1299999952316284,1.1799999475479126,-49.72203063964844,48,44,105
105,1.1799999475479126,1.25,-49.84510040283203,35,44,105
106,1.25,1.309999942779541,-49.55989456176758,29,44,105
107,1.309999942779541,1.3700000047683716,-53.067657470703125,47,44,105
108,1.3700000047683716,1.4900000095367432,-42.24705123901367,33,44,105
109,1.4900000095367432,1.6299999952316284,-51.64603805541992,59,44,105
110,1.6299999952316284,1.75,-44.67145919799805,10,44,105
111,1.75,1.8700000047683716,-42.839046478271484,48,44,105
112,1.8700000047683716,1.968000054359436,-39.6187744140625,2,45,105
113,0.0,0.03999999910593033,-48.8765983581543,2,46,106
114,0.03999999910593033,0.12999999523162842,-63.12129592895508,25,47,106
115,0.12999999523162842,0.3199999928474426,-48.39690017700195,38,47,106
116,0.3199999928474426,0.5899999737739563,-52.11127471923828,58,47,106
117,0.5899999737739563,0.671999990940094,-48.84142303466797,2,48,106
118,0.0,0.05999999865889549,-52.80617141723633,2,49,107
119,0.05999999865889549,0.12999999523162842,-58.67500686645508,24,50,107
120,0.12999999523162842,0.4099999964237213,-40.09725570678711,17,50,107
121,0.4099999964237213,0.5699999928474426,-42.22289276123047,48,50,107
122,0.5699999928474426,0.6480000019073486,-42.85118103027344,2,51,107
123,0.0,0.029999999329447746,-54.09812927246094,2,52,108
124,0.029999999329447746,0.20999999344348907,-55.71335983276367,58,53,108
125,0.20999999344348907,0.5299999713897705,-39.19172668457031,5,53,108
126,0.5299999713897705,0.6480000019073486,-46.63542175292969,2,54,108
127,0.0,0.029999999329447746,-56.87496566772461,2,55,109
128,0.029999999329447746,0.17000000178813934,-55.18586349487305,58,56,109
129,0.17000000178813934,0.23000000417232513,-61.69597244262695,56,56,109
130,0.23000000417232513,0.3199999928474426,-43.24824523925781,27,56,109
131,0.3199999928474426,0.44999998807907104,-51.28169250488281,59,56,109
132,0.44999998807907104,0.550000011920929,-46.6968879699707,10,56,109
133,0.550000011920929,0.6800000071525574,-44.16512680053711,46,56,109
134,0.6800000071525574,0.7680000066757202,-43.96475601196289,2,57,109
135,0.0,0.05999999865889549,-58.4484748840332,2,58,11
136,0.05999999865889549,0.1599999964237213,-49.232879638671875,20,59,11
137,0.1599999964237213,0.25,-49.17662048339844,61,60,11
138,0.25,0.3199999928474426,-51.55074691772461,39,60,11
139,0.3199999928474426,0.3799999952316284,-55.66439437866211,49,60,11
140,0.3799999952316284,0.41999998688697815,-57.731666564941406,45,60,11
141,0.41999998688697815,0.44999998807907104,-69.30634307861328,69,61,11
142,0.44999998807907104,0.5099999904632568,-52.479736328125,42,61,11
143,0.5099999904632568,0.6200000047683716,-58.66622543334961,59,62,11
144,0.6200000047683716,0.6800000071525574,-55.54770278930664,63,62,11
145,0.6800000071525574,0.75,-55.86251449584961,24,62,11
146,0.75,0.7900000214576721,-57.779212951660156,61,63,11
147,0.7900000214576721,0.8600000143051147,-36.42662811279297,8,63,11
148,0.8600000143051147,0.9300000071525574,-44.926361083984375,49,63,11
149,0.9300000071525574,0.9599999785423279,-52.88444900512695,45,63,11
150,0.9599999785423279,1.0,-54.47627258300781,25,64,11
151,1.0,1.0499999523162842,-48.01457977294922,10,64,11
152,1.0499999523162842,1.159999966621399,-63.417720794677734,61,65,11
153,1.159999966621399,1.2300000190734863,-52.55301284790039,57,65,11
154,1.2300000190734863,1.309999942779541,-45.08362579345703,42,65,11
155,1.309999942779541,1.399999976158142,-53.43748092651367,22,66,11
156,1.399999976158142,1.6699999570846558,-42.369239807128906,54,66,11
157,1.6699999570846558,1.899999976158142,-51.07619857788086,71,66,11
158,1.899999976158142,1.9919999837875366,-46.7852897644043,2,67,11
159,0.0,0.05000000074505806,-44.69477081298828,2,68,110
160,0.05000000074505806,0.12999999523162842,-56.441524505615234,44,69,110
161,0.12999999523162842,0.3100000023841858,-44.480316162109375,11,69,110
162,0.3100000023841858,0.3400000035762787,-88.27945709228516,58,69,110
163,0.3400000035762787,0.5600000023841858,-62.38168716430664,60,69,110
164,0.5600000023841858,0.6240000128746033,-52.87398147583008,2,70,110
165,0.0,0.07000000029802322,-51.626895904541016,2,71,111
166,0.07000000029802322,0.18000000715255737,-56.6219596862793,44,72,111
167,0.18000000715255737,0.46000000834465027,-39.312889099121094,66,72,111
168,0.46000000834465027,0.5899999737739563,-38.089759826660156,48,72,111
169,0.5899999737739563,0.7200000286102295,-43.52678680419922,2,73,111
170,0.0,0.05999999865889549,-52.86940002441406,2,74,112
171,0.05999999865889549,0.11999999731779099,-60.19765090942383,24,75,112
