file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
time-714eea0f,0.0,0.648,corpus,-49.61096754807692,-47.98711649576823,1.0300302551627758,19.64030497981491
yesterday-1aa96b8f,0.0,0.84,corpus,-51.859462193080354,-54.12280109950474,1.016596273666164,20.20360208281935
sunny-b892f067,0.0,0.648,corpus,-50.64115084134615,-48.19909954071045,1.007911320754557,20.223825134887043
small-89f6229a,0.0,0.744,corpus,-47.27396867081926,-47.29872703552246,0.9734071295198907,18.18697815672445
happy-3978d009,0.0,0.648,corpus,-49.34835486778846,-50.3706111907959,0.9701106036774854,19.707203983487084
going-1a198519,0.0,0.672,corpus,-48.817605089785445,-47.48600673675537,0.9679012243958803,20.315858815569133
doctor-1f016007,0.0,0.696,corpus,-48.05224260602679,-49.08655853271485,0.9432993380183847,21.120809126788384
under-dad64cc6,0.0,0.6,corpus,-50.1010986328125,-49.66556262969971,0.9432989486222051,22.557392674590673
dinner-78cbc77f,0.0,0.576,corpus,-48.72216375942888,-47.659719467163086,0.9432989486222051,16.818889930404705
never-85777c03,0.0,0.624,corpus,-47.20418031754032,-45.36837673187256,0.9432985592260255,21.560764469048728
water-6d5a4592,0.0,0.6,corpus,-47.01864827473958,-44.88665199279785,0.8767631934321003,22.02963450909595
heart-ef8201e1,0.0,0.528,corpus,-53.037353515625,-53.337050437927246,0.8767629721735886,20.963453211905
crazy-33b501a5,0.0,0.744,corpus,-51.28031632706926,-53.22890396118164,0.8735240257718092,21.909047993990548
baby-6cf34755,0.0,0.648,corpus,-50.378748497596156,-50.21281433105469,0.8735236252636911,16.79585606270211
berry-106ab4e1,0.0,0.624,corpus,-45.235166488155244,-43.319929122924805,0.8735236252636911,21.804036617926577
family-c33f059b,0.0,0.72,corpus,-47.295620388454864,-47.84595642089844,0.8667319154662387,19.50611790990327
my-mom-comes-home-adf99a25,0.0,1.344,corpus,-49.1252295650653,-51.92316563924154,0.848101885782028,23.153220682636302
road-4adfa579,0.0,0.648,corpus,-49.10671198918269,-51.18606948852539,0.838673088816193,22.56346100359644
sit-abdcde66,0.0,0.528,corpus,-51.522143094044814,-49.59900029500326,0.7834500972914314,16.556457793253216
very-e74295bf,0.0,0.624,corpus,-45.30516396799395,-41.7144250869751,0.7391355292647072,22.204529239173322
taxi-4d82205a,0.0,0.72,corpus,-55.02129109700521,-56.80610733032226,0.7391351287565889,18.885812940593773
long-bd3027fa,0.0,0.624,corpus,-46.26085638230847,-44.526737213134766,0.7387487485004605,19.73991606516966
window-320ad267,0.0,0.696,corpus,-52.38431919642857,-53.714422607421874,0.7206529137654281,20.914044852386887
sister-1dd09baa,0.0,0.72,corpus,-51.69124009874132,-52.97736358642578,0.6819798452478756,19.358293935412306
yellow-96de5543,0.0,0.672,corpus,-45.24007768773321,-44.41236877441406,0.6572467455591048,17.683343850548813
great-fbc8fae6,0.0,0.504,corpus,-55.798681640625,-57.780999183654785,0.6086859947311468,21.306708958777328
night-1be2a44c,0.0,0.528,corpus,-45.64957989386792,-45.15427271525065,0.5707381049826009,20.550908405496912
out-f4800df8,0.0,0.456,corpus,-50.39602263077445,-49.74860382080078,0.5284907234980665,22.979596952700923
something-1af17e73,0.0,0.744,corpus,-49.11494734480574,-46.597198486328125,0.47204318023805597,16.262092318105633
zero-aa8c4133,0.0,0.72,corpus,-52.140170627170136,-54.07507610321045,0.4037061481952885,18.22918449132284
about-5780daf6,0.0,0.576,corpus,-49.553572029903016,-49.70703411102295,0.3940052570536693,23.397589932303212
