file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ta-ble-b3cea8e4,0.0,0.6616875,corpus,-61.33937766335227,-65.4183578491211,6.7036732541874064,7.79743573025345
pool-51a4b13b,0.0,0.3695625,corpus,-56.546056798986484,-57.440634409586586,3.7485322399299332,14.362444687443022
fool-33655e63,0.0,0.4194375,corpus,-54.40876697358631,-52.51877085367838,3.748531574373061,10.640182078371971
are-5f9e5802,0.0,0.333125,corpus,-50.891982569839016,-45.724008560180664,3.0986654907086195,17.831994098242852
how-much-is-that-9ac6775d,0.0,1.0300625,corpus,-57.51879645782767,-59.66591053009033,2.9752572070723815,17.760222282401735
ba-na-na-fe92ea9b,0.0,0.7589375,corpus,-48.100920024671055,-51.058397928873696,2.826153579396497,9.852884822585914
start-2b020927,0.0,0.5485625,corpus,-63.41355202414773,-63.34120330810547,2.800040483726298,15.314068229162656
thank-you-for-your-time-f556b223,0.0,1.2785625,corpus,-56.59694290161133,-56.737800053187776,2.5907331213913984,17.26096180718248
large-5296d5cc,0.0,0.5151875,corpus,-57.20565561147836,-53.54146862030029,2.5014170341904385,20.869834546493387
four-9f8f7eec,0.0,0.4078125,corpus,-54.463968416539636,-50.17305246988932,2.501416589205735,10.669914604922916
it-is-79d4a897,0.0,0.461375,corpus,-54.15506114130435,-52.90206527709961,2.4945481097478517,20.364739332659475
this-is-87fe3990,0.0,0.582375,corpus,-56.87207873114224,-57.12276382446289,2.494547932211568,21.181404516272046
the-king-keeps-a-kite-in-the-sky-0818c9a8,0.0,1.8,corpus,-60.695155164930554,-62.07265720367432,2.493733741612296,13.500615206807243
i-am-b9778453,0.0,0.565375,corpus,-39.13041820860746,-37.73655891418457,2.4327096657579816,24.374509105863133
umbrella-3ff95ac9,0.0,0.6010625,corpus,-51.34602457682292,-50.19169180733817,2.4243655746628727,11.875570943863895
give-fa9f22e6,0.0,0.3310625,corpus,-51.67486017400568,-58.42344665527344,2.368443775147339,20.838992462129255
ice-d53b257b,0.0,0.4260625,corpus,-60.104242369186046,-58.45030975341797,2.3606589422384783,20.590269646976957
once-the-queen-found-water-and-a-new-way-in-the-wh-1567391c,0.0,3.299625,corpus,-52.8291074810606,-53.23680609625739,2.3606589422384783,26.65935432065536
how-0b064373,0.0,0.412125,corpus,-50.52255621189025,-56.38057518005371,2.3302507309310303,16.22180531586345
hi-c22b5f91,0.0,0.42375,corpus,-53.817359561011905,-61.80653762817383,2.2731990327572444,14.999641571757715
sky-5737ef08,0.0,0.5593125,corpus,-55.70778547014509,-63.393698374430336,2.273198778790705,13.049912252092515
table-c3ee137d,0.0,0.4759375,corpus,-56.6300048828125,-58.08109741210937,2.2597061426651077,16.52489783810523
table-for-two-2d053d3f,0.0,0.917125,corpus,-61.940673828125,-62.39960479736328,2.21582212754801,12.95183992040503
your-time-d598deaf,0.0,0.6774375,corpus,-55.56717457490809,-55.8323917388916,2.21582212754801,12.57825566576577
hotel-14e83355,0.0,0.6115625,corpus,-59.460933497694676,-58.46854705810547,2.21582212754801,14.056000494174691
i-d-like-a-table-for-two-at-eight-7a6c421e,0.0,1.7146875,corpus,-61.39763226425438,-62.150821859186344,2.21582212754801,18.811738648757846
excuse-me-where-is-the-train-station-2834258b,0.0,2.4924375,corpus,-57.84396962851405,-59.4817148844401,2.21582212754801,20.272154389947325
vampire-d30d77bc,0.0,0.7589375,corpus,-48.16855340254934,-50.79521814982096,2.2027935846545788,13.277039424230807
new-york-dddd9606,0.0,0.6219375,corpus,-56.36669134324597,-55.0494635445731,2.202792694685172,19.50694550032181
dare-3993d7b6,0.0,0.3193125,corpus,-52.842594146728516,-52.75197728474935,2.2027922497004693,14.9447079456305
the-sun-shines-over-the-sea-d1b4edff,0.0,1.533,corpus,-58.94178921568628,-60.76922297477722,2.199882939495253,18.3595195044137
banana-250e77f1,0.0,0.5035,corpus,-46.1437890625,-45.91594568888346,2.1569091186899096,11.302666898517453
wanna-38ed7d5b,0.0,0.3969375,corpus,-52.38240966796875,-49.471957206726074,2.1569091186899096,11.42506158133977
gotta-4b17286a,0.0,0.3790625,corpus,-56.76167377672697,-58.58555221557617,2.156908720148353,8.473713704653182
gonna-6a3ab08e,0.0,0.3558125,corpus,-54.697041829427086,-56.11416721343994,2.156908720148353,7.955842818494315
pho-to-gra-phy-fe308a36,0.0,1.1044375,corpus,-59.012633167613636,-63.613009982638886,2.1368526770195837,13.297238699951281
bye-78c9a53e,0.0,0.383,corpus,-48.57393927323191,-55.6280460357666,2.136851889723311,11.966052456295492
check-in-a0ba606b,0.0,0.6018125,corpus,-53.711995442708336,-55.437174224853514,2.123959298533593,14.92978842985101
wrong-a4b48a81,0.0,0.4019375,corpus,-53.8386474609375,-52.72407913208008,2.1168938200178458,15.355885212342816
three-trees-fell-down-778fc56f,0.0,1.2669375,corpus,-58.437596118356296,-58.628692626953125,2.1096961465173,15.392228472012564
good-morning-how-do-you-do-d91f457d,0.0,1.768375,corpus,-53.29821018714689,-52.73946874281939,2.1096961465173,17.61368936202394
today-2dd2bed7,0.0,0.51075,corpus,-52.409447763480394,-63.28123950958252,2.1096934164726884,13.079123598778077
they-went-there-for-the-day-460ba953,0.0,1.1595625,corpus,-53.861277613146555,-57.289492797851565,2.1096917784459213,15.64600746606869
see-you-later-have-a-nice-day-e3640108,0.0,1.9998125,corpus,-50.943515625,-51.48459670122932,2.1096874103745424,20.0639888548885
i-see-your-point-but-i-disagree-6ecf310b,0.0,2.1325625,corpus,-56.557571339495304,-57.78384344918387,2.1096874103745424,14.607401274210723
i-have-five-years-of-experience-88691676,0.0,1.8535,corpus,-57.21887668918919,-57.43394918027131,2.0935991963703953,22.685625947430623
soft-eb74f2cb,0.0,0.5369375,corpus,-61.144675925925924,-63.65679168701172,2.0777713954283206,15.927757985674532
run-df6ad190,0.0,0.4135,corpus,-48.839885432545735,-47.525535583496094,2.0673710228793545,15.551620982799516
one-fe05bcdc,0.0,0.4203125,corpus,-49.77133324032738,-47.20957819620768,2.067370489609981,12.715273724772166
a-large-one-please-8b8b6ece,0.0,1.5175625,corpus,-57.022184673108555,-57.84235986073812,2.067370489609981,13.572655068344421
sun-22fa6121,0.0,0.512875,corpus,-51.528818167892155,-48.822505950927734,2.067370489609981,13.393435728426104
the-baby-has-a-blue-book-a75d47fe,0.0,1.34725,corpus,-55.563541666666666,-56.200700998306274,2.0463007239885207,18.895824459005883
i-d-like-to-book-75a64a62,0.0,0.9136875,corpus,-62.26468599759615,-64.12295722961426,2.046298180560479,17.404397427212082
i-see-your-point-ab51a4aa,0.0,1.0064375,corpus,-55.56816599628713,-54.48131637573242,2.024304047029291,7.796017450177089
the-man-has-a-pen-in-the-pan-85dd91d7,0.0,1.533,corpus,-52.167161330678105,-52.17686823794716,2.024304047029291,15.718605429650433
o-pen-e03e3e37,0.0,0.656375,corpus,-52.020644679214016,-52.02513790130615,2.0243034897383656,14.940137903112015
voice-47ef6589,0.0,0.4690625,corpus,-61.369743184840424,-61.07709884643555,2.0227861934932028,16.642660332045548
the-vampire-has-a-very-loud-voice-3480840e,0.0,1.892875,corpus,-52.625465029761905,-54.31870174407959,2.022785186555985,22.67372134807889
play-516626bf,0.0,0.450875,corpus,-47.86664496527778,-61.37231318155924,1.9933525818541722,13.115506433656968
i-know-how-to-use-a-knife-a22c93df,0.0,1.470625,corpus,-53.56211136798469,-54.536154065813335,1.9756425776005562,18.696661132759356
apple-d0be2dc4,0.0,0.4378125,corpus,-55.5654463334517,-56.88075065612793,1.961941322546266,14.60857758289467
i-totally-agree-with-you-746e2822,0.0,1.4474375,corpus,-57.735977909482756,-56.38232445716858,1.9591641174263326,8.670089720331417
photograph-5df588cd,0.0,0.82575,corpus,-57.977921451430724,-58.46982526779175,1.947331070681752,26.59037291307191
tomorrow-2dac81d6,0.0,0.5804375,corpus,-51.06465938173491,-50.7212028503418,1.904168355179906,10.493445880076116
there-490528f3,0.0,0.3351875,corpus,-53.28263944738052,-53.14837773640951,1.904168355179906,15.895533938309507
wa-ter-a439d6dd,0.0,0.5713125,corpus,-60.426085354989034,-57.984917640686035,1.901172858174566,7.1644248585883314
pho-to-gra-phic-6cac0797,0.0,1.023125,corpus,-65.50677370557598,-65.72129549298968,1.8894518656338335,8.307384273558355
know-97accafb,0.0,0.413625,corpus,-46.41106731135671,-46.945383071899414,1.862329717616226,14.604687717063147
go-1ec558a6,0.0,0.3773125,corpus,-49.48136821546053,-54.41676330566406,1.862329717616226,15.919467290878247
snow-b94e9f3d,0.0,0.536125,corpus,-54.5712574146412,-58.53558349609375,1.8623296057739078,13.520576806712453
hello-aaf4c61d,0.0,0.5424375,corpus,-50.158700448495374,-56.994982401529946,1.8623296057739078,15.26092119816976
hello-this-is-john-speaking-02a2d8ba,0.0,1.9583125,corpus,-57.86846301020408,-60.528640522676355,1.8623296057739078,16.57087355522176
cup-ad00c690,0.0,0.41975,corpus,-58.06755138578869,-63.567389170328774,1.8514816173687556,23.230736440494784
take-the-ticket-to-the-train-9d0de2d7,0.0,1.4511875,corpus,-61.68504849137931,-63.32677014668783,1.840913368350414,11.924135747569817
don-t-you-b9117689,0.0,0.598,corpus,-63.296793619791664,-63.42711802891323,1.8409111337046218,14.60183327249745
take-a-photograph-of-photography-8e682bd0,0.0,1.9388125,corpus,-61.99520779639175,-62.276608010996945,1.8409111337046218,15.659533132930006
won-t-you-15b6f8ea,0.0,0.6059375,corpus,-63.048784099641395,-62.12886571884155,1.8409111337046218,14.344718030284838
photography-9aa15b5b,0.0,0.8721875,corpus,-63.197731456537355,-62.65931828816732,1.8409105750431738,11.179253159394602
po-ta-to-faf995d3,0.0,0.8330625,corpus,-64.2495764307229,-65.56876754760742,1.8409105750431738,4.98491493259389
shoe-4488ae65,0.0,0.453,corpus,-57.736083984375,-60.901546478271484,1.8406750414508637,12.671118358788963
sue-1eac7bdc,0.0,0.4556875,corpus,-55.88001549762228,-54.55729866027832,1.84067494778499,12.32431419051747
book-e7e694c5,0.0,0.3249375,corpus,-60.691043853759766,-60.9661865234375,1.8329408514711156,18.038097900323386
she-loves-it-f7f200da,0.0,0.7065,corpus,-60.58733357174296,-59.188233852386475,1.8149406126680392,14.235190252292938
she-sells-sea-shells-a31616ab,0.0,1.2289375,corpus,-58.871216812754064,-57.5898183186849,1.8149406126680392,14.337649837424284
check-d56d9853,0.0,0.4259375,corpus,-62.471395803052324,-65.09123611450195,1.7914411523053533,15.564767680212386
thank-c4121f6a,0.0,0.5019375,corpus,-55.472421875,-58.326090812683105,1.7914411523053533,17.861740189892757
the-check-ca53f90c,0.0,0.5383125,corpus,-64.53375922309027,-66.55988388061523,1.7914411523053533,15.674786387335967
talk-e55e91b2,0.0,0.4439375,corpus,-62.95571621981534,-65.15697733561198,1.7914411523053533,10.02188679225612
walk-df06b147,0.0,0.4435625,corpus,-57.48620050603693,-58.62839889526367,1.7914411523053533,17.97754556177194
knock-03c065ba,0.0,0.42525,corpus,-55.16467569040697,-56.31609598795573,1.7914411523053533,18.00080311355376
we-can-walk-and-talk-57432e20,0.0,1.1865625,corpus,-61.56261899290966,-61.47467722211565,1.7914373210602146,19.495405850453402
no-way-1b20fde7,0.0,0.6219375,corpus,-42.93830723916331,-45.882877349853516,1.7911680563500056,14.750588616903023
i-m-great-thanks-and-you-c2067779,0.0,2.08575,corpus,-54.08317602422249,-54.60456219841452,1.7896473472045156,23.53402248499288
bed-fefe2393,0.0,0.325,corpus,-54.46351207386363,-59.90093739827474,1.7421222779519046,16.18837338161785
way-ed36cbf2,0.0,0.4203125,corpus,-42.297581263950896,-44.74697303771973,1.731229885623481,13.904595170937254
they-f1fdd46d,0.0,0.38425,corpus,-42.87426436574835,-50.7078218460083,1.7312298367992955,12.658356219567823
i-d-like-fish-and-chips-0e1407d4,0.0,1.354875,corpus,-62.846180555555556,-63.2281016181497,1.7298277215747062,21.806978992839348
i-d-like-a-coffee-3c80f673,0.0,1.041375,corpus,-60.83137864332933,-62.46944840749105,1.7298277215747062,14.43913594182917
i-d-like-one-ticket-to-london-please-3e69d3e0,0.0,2.24825,corpus,-58.680364583333336,-60.4313271133988,1.7298271594290768,19.925102741943334
what-do-you-want-to-do-b6f323b2,0.0,1.3259375,corpus,-55.82335232612782,-59.72749277750651,1.7149584854632893,13.423409441246802
open-5fc7e38b,0.0,0.4576875,corpus,-56.05208687160326,-54.54878807067871,1.7094998123521439,21.827187356797886
turn-on-2d1f77d0,0.0,0.60375,corpus,-50.761714680989584,-52.14781036376953,1.7094998123521439,13.92825567300823
turn-on-befe03dc,0.0,0.60375,corpus,-50.829219563802084,-52.148406219482425,1.7094998123521439,13.92825567300823
pan-bd2bd821,0.0,0.42675,corpus,-51.597554051598834,-56.8156852722168,1.7094987458133972,12.364214846341124
i-admire-the-company-culture-9139010a,0.0,1.714875,corpus,-56.95925849780702,-56.84024188393041,1.685655300918834,12.744016269511913
bus-32c70ceb,0.0,0.4295,corpus,-56.71147120276163,-58.85122299194336,1.6849149551537546,18.063959071287563
i-see-f0723abd,0.0,0.56525,corpus,-52.88908305921053,-49.652435302734375,1.68491470341945,7.288334247027661
dance-74b518ed,0.0,0.5050625,corpus,-52.65109432444853,-55.80464267730713,1.6849144516851455,19.08568475481935
once-18638356,0.0,0.5131875,corpus,-59.31360102634804,-57.544196128845215,1.6849144516851455,18.261755441334586
the-sun-is-up-above-the-bus-9e171628,0.0,1.4633125,corpus,-61.23541176155822,-61.79562526279025,1.6849134447479277,16.638794856205575
you-re-wrong-97c13195,0.0,0.5729375,corpus,-51.57655307702851,-50.68766339619955,1.6848737994029175,12.45751086722607
could-we-have-the-bill-please-4bbde802,0.0,1.611875,corpus,-57.41812039013975,-58.671315361471734,1.674263865605222,18.039096825896614
five-4db2c1df,0.0,0.465875,corpus,-52.595620013297875,-58.97073491414388,1.674263865605222,17.569256583784572
the-fool-is-full-of-food-4bf93aac,0.0,1.24275,corpus,-58.83987918976815,-61.709547678629555,1.6742610713782289,15.881269850333064
pull-c872d556,0.0,0.3695625,corpus,-60.13801863386824,-59.873772939046226,1.6641765024274242,13.757602238004532
full-52e6d8ab,0.0,0.4194375,corpus,-57.87323288690476,-54.527610778808594,1.664176058722843,10.430798818780035
tell-47b8015d,0.0,0.385875,corpus,-54.06086613581731,-52.389564514160156,1.664176058722843,12.689978361295525
