id,begin,end,utterance_id,word_id,pronunciation_id
1,0.0,0.41999998688697815,1,460,486
2,0.41999998688697815,0.4725624918937683,1,1,1
3,0.0,0.029999999329447746,10,1,1
4,0.029999999329447746,0.5,10,79619,83391
5,0.5,0.7099999785423279,10,1,1
6,0.7099999785423279,0.9100000262260437,10,176369,184146
7,0.9100000262260437,1.0499999523162842,10,89336,93717
8,1.0499999523162842,1.340000033378601,10,91709,96168
9,1.340000033378601,1.909999966621399,10,165525,172901
10,1.909999966621399,1.9583125114440918,10,1,1
11,0.0,0.3700000047683716,100,197209,205944
12,0.3700000047683716,0.4019375145435333,100,1,1
13,0.0,0.029999999329447746,101,1,1
14,0.029999999329447746,0.07000000029802322,101,7,9
15,0.07000000029802322,0.4300000071525574,101,99042,103648
16,0.4300000071525574,0.8100000023841858,101,125510,130968
17,0.8100000023841858,1.0399999618530273,101,1,1
18,1.0399999618530273,1.4900000095367432,101,135859,141712
19,1.4900000095367432,1.5175625085830688,101,1,1
20,0.0,0.23999999463558197,102,133952,139736
21,0.23999999463558197,0.3799999952316284,102,178185,186022
22,0.3799999952316284,0.6399999856948853,102,72710,76232
23,0.6399999856948853,0.7300000190734863,102,1,1
24,0.7300000190734863,0.8999999761581421,102,199860,208651
25,0.8999999761581421,1.0231250524520874,102,1,1
26,0.0,0.029999999329447746,103,1,1
27,0.029999999329447746,0.5,103,163700,171005
28,0.5,0.5361250042915344,103,1,1
29,0.0,0.12999999523162842,104,84688,88643
30,0.12999999523162842,0.5400000214576721,104,4449,4760
31,0.5400000214576721,0.5653749704360962,104,1,1
32,0.0,0.3799999952316284,105,65228,68517
33,0.3799999952316284,0.4078125059604645,105,1,1
34,0.0,0.029999999329447746,106,1,1
35,0.029999999329447746,0.5299999713897705,106,161773,169036
36,0.5299999713897705,0.5601249933242798,106,1,1
37,0.0,0.3799999952316284,107,99316,103934
38,0.3799999952316284,0.41068750619888306,107,1,1
39,0.0,0.07999999821186066,108,175734,183488
40,0.07999999821186066,0.4399999976158142,108,30366,31688
41,0.4399999976158142,0.5383124947547913,108,1,1
42,0.0,0.4699999988079071,109,178286,186124
43,0.4699999988079071,0.5107499957084656,109,1,1
44,0.0,0.25999999046325684,11,172919,180572
45,0.25999999046325684,0.3100000023841858,11,7,9
46,0.3100000023841858,0.949999988079071,11,134032,139816
47,0.949999988079071,1.0499999523162842,11,124684,130092
48,1.0499999523162842,1.909999966621399,11,134041,139825
49,1.909999966621399,1.938812494277954,11,1,1
50,0.0,0.05999999865889549,110,1,1
51,0.05999999865889549,0.4399999976158142,110,175621,183370
52,0.4399999976158142,0.5019375085830688,110,1,1
53,0.0,0.47999998927116394,111,125482,130939
54,0.47999998927116394,0.5131875276565552,111,1,1
55,0.0,0.30000001192092896,112,158802,165985
56,0.30000001192092896,0.4300000071525574,112,193006,201381
57,0.4300000071525574,0.6600000262260437,112,69637,73086
58,0.6600000262260437,1.1100000143051147,112,167462,174916
59,1.1100000143051147,1.1593124866485596,112,1,1
60,0.0,0.3799999952316284,113,192939,201314
61,0.3799999952316284,0.4203124940395355,113,1,1
62,0.0,0.47999998927116394,114,42975,44823
63,0.47999998927116394,0.5050625205039978,114,1,1
64,0.0,0.1899999976158142,115,194057,202480
65,0.1899999976158142,0.3400000035762787,115,49131,51438
66,0.3400000035762787,0.550000011920929,115,198568,207334
67,0.550000011920929,0.8199999928474426,115,192160,200473
68,0.8199999928474426,0.9300000071525574,115,178185,186022
69,0.9300000071525574,1.2799999713897705,115,49131,51438
70,1.2799999713897705,1.3259375095367432,115,1,1
71,0.0,0.029999999329447746,116,1,1
72,0.029999999329447746,0.6200000047683716,116,153083,160059
73,0.6200000047683716,0.652999997138977,116,1,1
74,0.0,0.3799999952316284,117,64259,67473
75,0.3799999952316284,0.4194374978542328,117,1,1
76,0.0,0.10000000149011612,118,84688,88643
77,0.10000000149011612,0.30000001192092896,118,78412,82149
78,0.30000001192092896,0.6200000047683716,118,62810,65968
