file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ta-ble-b3cea8e4,0.0,0.6616875,corpus,-61.15308357007576,-65.21526489257812,6.736561824092712,7.79743573025345
pool-51a4b13b,0.0,0.3695625,corpus,-56.510465054898646,-57.38297017415365,3.72266181187675,14.362444687443022
fool-33655e63,0.0,0.4194375,corpus,-54.325520833333336,-52.33824793497721,3.7226611509132046,10.640182078371971
are-5f9e5802,0.0,0.333125,corpus,-50.63341545336174,-45.43256950378418,3.176546685323343,17.831994098242852
how-much-is-that-9ac6775d,0.0,1.0300625,corpus,-57.46437443112864,-59.69794826507568,2.9752572070723815,17.760222282401735
start-2b020927,0.0,0.5485625,corpus,-63.402867542613635,-63.449893951416016,2.8711087055577753,15.314068229162656
ba-na-na-fe92ea9b,0.0,0.7589375,corpus,-48.08432488692434,-51.12724367777506,2.835917815466941,9.852884822585914
your-time-d598deaf,0.0,0.6774375,corpus,-55.50692210477941,-55.15360768636068,2.5800989883325713,12.57825566576577
thank-you-for-your-time-f556b223,0.0,1.2785625,corpus,-56.422157287597656,-56.604241779872346,2.5800984324800007,17.26096180718248
large-5296d5cc,0.0,0.5151875,corpus,-56.9761728140024,-53.36592674255371,2.565672318770992,20.869834546493387
four-9f8f7eec,0.0,0.4078125,corpus,-54.280070979420735,-50.029702504475914,2.565671863634196,10.669914604922916
it-is-79d4a897,0.0,0.461375,corpus,-54.27683954653533,-52.87746238708496,2.5111381212244006,20.364739332659475
this-is-87fe3990,0.0,0.582375,corpus,-56.811355064655174,-57.07755737304687,2.511137943039305,21.181404516272046
the-king-keeps-a-kite-in-the-sky-0818c9a8,0.0,1.8,corpus,-60.64537217881944,-62.039652824401855,2.493733741612296,13.500615206807243
umbrella-3ff95ac9,0.0,0.6010625,corpus,-51.36390787760417,-50.12698473249163,2.4404065095491716,11.875570943863895
i-am-b9778453,0.0,0.565375,corpus,-39.26867889939693,-37.83489163716634,2.4327096657579816,24.374509105863133
once-the-queen-found-water-and-a-new-way-in-the-wh-1567391c,0.0,3.299625,corpus,-52.81679095643939,-53.17390349104598,2.3749511929110896,26.65935432065536
ice-d53b257b,0.0,0.4260625,corpus,-59.90440475109012,-58.31352996826172,2.3749511929110896,20.590269646976957
give-fa9f22e6,0.0,0.3310625,corpus,-51.576401219223484,-57.97041575113932,2.368443775147339,20.838992462129255
how-0b064373,0.0,0.412125,corpus,-50.18873856707317,-56.272132873535156,2.2946476868594936,16.22180531586345
hi-c22b5f91,0.0,0.42375,corpus,-53.666463216145836,-61.84817123413086,2.286928296047597,14.999641571757715
new-york-dddd9606,0.0,0.6219375,corpus,-56.403627457157256,-55.006936754499165,2.2602350217106175,19.50694550032181
table-c3ee137d,0.0,0.4759375,corpus,-56.86249796549479,-58.37938766479492,2.2441108173425466,16.52489783810523
i-d-like-a-table-for-two-at-eight-7a6c421e,0.0,1.7146875,corpus,-61.438425164473685,-62.265213359485976,2.207072442538187,18.811738648757846
table-for-two-2d053d3f,0.0,0.917125,corpus,-61.97981063179348,-62.55095291137695,2.207072442538187,12.95183992040503
hotel-14e83355,0.0,0.6115625,corpus,-59.38079934042008,-58.36320495605469,2.207072442538187,14.056000494174691
excuse-me-where-is-the-train-station-2834258b,0.0,2.4924375,corpus,-57.74515248493976,-59.42452904030129,2.207072442538187,20.272154389947325
the-sun-shines-over-the-sea-d1b4edff,0.0,1.533,corpus,-58.98827486723856,-60.79409313201904,2.199882939495253,18.3595195044137
banana-250e77f1,0.0,0.5035,corpus,-46.1291552734375,-45.90135510762533,2.1718970774662476,11.302666898517453
gonna-6a3ab08e,0.0,0.3558125,corpus,-54.69799126519097,-56.06226348876953,2.171896677355633,7.955842818494315
gotta-4b17286a,0.0,0.3790625,corpus,-56.55649285567434,-58.52321910858154,2.171896677355633,8.473713704653182
pho-to-gra-phy-fe308a36,0.0,1.1044375,corpus,-59.07383700284091,-63.59988276163737,2.14989320415368,13.297238699951281
bye-78c9a53e,0.0,0.383,corpus,-48.54902729235197,-55.60078048706055,2.149892412880481,11.966052456295492
sky-5737ef08,0.0,0.5593125,corpus,-55.91926792689732,-63.07434844970703,2.149892183156004,10.817664828341965
check-in-a0ba606b,0.0,0.6018125,corpus,-53.74829915364583,-55.479804611206056,2.123959298533593,14.92978842985101
